Session,Scanner,Serial,Software,Gender,Age,Handedness(writing),,,Key:,,
017_NA3_031,7,[24040],[3.2.3\3.2.3.1],2,37,1,,,,,
017_NA3_032,7,[24040],[3.2.3\3.2.3.1],2,36,2,,,,,
017_NA3_033,7,[24040],[3.2.3\3.2.3.1],1,32,2,,,,,
017_NA3_034,7,[24040],[3.2.3\3.2.3.1],1,30,,,,,,
017_NA3_035,7,[24040],[3.2.3\3.2.3.1],1,22,2,,,,,
017_NA3_036,7,[24040],[3.2.3\3.2.3.1],1,19,2,,,,,
017_NA3_037,7,[24040],[3.2.3\3.2.3.1],1,27,2,,,,,
017_NA3_038,7,[24040],[3.2.3\3.2.3.1],1,56,2,,,,,
017_NA3_040,7,[24040],[3.2.3\3.2.3.1],2,19,2,,,,,
017_NA3_041,7,[24040],[3.2.3\3.2.3.1],1,31,1,,,,,
017_NA3_042,7,[24040],[3.2.3\3.2.3.1],2,42,1,,,,,
017_NA3_044,7,[24040],[3.2.3\3.2.3.1],1,31,2,,,,,
017_NA3_045,7,[24040],[3.2.3\3.2.3.1],1,30,2,,,,,
017_NA3_046,7,[24040],[3.2.3\3.2.3.1],2,36,2,,,,,
017_NA3_047,7,[24040],[3.2.3\3.2.3.1],2,22,2,,,,,
017_NA3_048,7,[24040],[3.2.3\3.2.3.1],1,19,2,,,,,
017_NA3_049,7,[24040],[3.2.3\3.2.3.1],2,36,2,,,,,
017_NA3_050,7,[24040],[3.2.3\3.2.3.1],2,34,2,,,,,
017_NA3_051,7,[24040],[3.2.3\3.2.3.1],2,27,2,,,,,
017_NA3_052,7,[24040],[3.2.3\3.2.3.1],1,35,2,,,,,
017_NA3_053,7,[24040],[3.2.3\3.2.3.1],2,22,2,,,,,
017_NA3_054,7,[24040],[3.2.3\3.2.3.1],1,39,2,,,,,
017_NA3_055,7,[24040],[3.2.3\3.2.3.1],1,21,1,,,,,
017_NA3_056,7,[24040],[3.2.3\3.2.3.1],2,25,2,,,,,
017_NA3_057,7,[24040],[3.2.3\3.2.3.1],1,33,2,,,,,
017_NA3_058,7,[24040],[3.2.3\3.2.3.1],2,23,2,,,,,
017_NA3_059,7,[24040],[3.2.3\3.2.3.1],1,34,1,,,,,
017_NA3_061,7,[24040],[3.2.3\3.2.3.1],2,45,2,,,,,
017_NAA_031,7,[24040],[3.2.3\3.2.3.0],2,21,1,,,,,
017_NAA_032,7,[24040],[3.2.3\3.2.3.0],1,22,,,,,,
017_NAA_033,7,[24040],[3.2.3\3.2.3.0],1,21,,,,,,
017_NAA_034,7,[24040],[3.2.3\3.2.3.0],1,25,2,,,,,
017_NAA_035,7,[24040],[3.2.3\3.2.3.0],2,18,2,,,,,
017_NAA_036,7,[24040],[3.2.3\3.2.3.1],2,28,,,,,,
017_NAA_037,7,[24040],[3.2.3\3.2.3.1],1,19,,,,,,
017_NAA_038,7,[24040],[3.2.3\3.2.3.1],2,18,2,,,,,
017_NAA_039,7,[24040],[3.2.3\3.2.3.1],1,18,2,,,,,
017_NAA_040,7,[24040],[3.2.3\3.2.3.1],2,19,2,,,,,
017_NAA_042,7,[24040],[3.2.3\3.2.3.1],1,20,,,,,,
017_NAA_043,7,[24040],[3.2.3\3.2.3.1],2,18,,,,,,
